X1	X2	NSH	SHX1	SHX2	SH	Type
DH12	DH15	13160	0.9845	0.976	0.976	Non-TR
DH12	DH16	12092	0.9776	0.9782	0.9776	Non-TR
DH12	DH18	13318	0.9821	0.974	0.974	Non-TR
DH12	DH21	12861	0.9786	0.9752	0.9752	Non-TR
DH12	DH23	13418	0.9817	0.9729	0.9729	Non-TR
DH12	DH25	13438	0.9829	0.9739	0.9739	Non-TR
DH12	DH27	13143	0.978	0.975	0.975	Non-TR
DH12	DH29	13292	0.9812	0.9738	0.9738	Non-TR
DH12	DH2	13211	0.9749	0.9739	0.9739	Non-TR
DH12	DH30	12824	0.9741	0.9764	0.9741	Non-TR
DH12	DH4	12970	0.9771	0.9724	0.9724	Non-TR
DH12	DH6	13160	0.9788	0.9752	0.9752	Non-TR
DH12	DH8	12193	0.978	0.9745	0.9745	Non-TR
DH12	DP13	12822	0.9539	0.9599	0.9539	Non-TR
DH12	DP17	13070	0.9546	0.9593	0.9546	Non-TR
DH12	DP1	12807	0.9527	0.9591	0.9527	Non-TR
DH12	DP22	13021	0.9538	0.9585	0.9538	Non-TR
DH12	DP23	12299	0.9417	0.9581	0.9417	Non-TR
DH12	DP25	12816	0.9537	0.9587	0.9537	Non-TR
DH12	DP26	13107	0.9577	0.9567	0.9567	Non-TR
DH12	DP28	12589	0.9554	0.9573	0.9554	Non-TR
DH12	DP2	12946	0.9549	0.9586	0.9549	Non-TR
DH12	DP4	12614	0.9551	0.9597	0.9551	Non-TR
DH12	DP6	12979	0.9545	0.9584	0.9545	Non-TR
DH12	DP8	13117	0.9566	0.9585	0.9566	Non-TR
DH12	FC10	12959	0.9478	0.9685	0.9478	Non-TR
DH12	FC12	12600	0.9442	0.9692	0.9442	Non-TR
DH12	FC13	12499	0.9435	0.9662	0.9435	Non-TR
DH12	FC14	12778	0.9453	0.9677	0.9453	Non-TR
DH12	FC19	10405	0.9315	0.9691	0.9315	Non-TR
DH12	FC23	12586	0.9465	0.9662	0.9465	Non-TR
DH12	FC24	12723	0.9488	0.9666	0.9488	Non-TR
DH12	FC27	12879	0.9493	0.9663	0.9493	Non-TR
DH12	FC28	12331	0.937	0.9671	0.937	Non-TR
DH12	FC30a	12856	0.9562	0.9678	0.9562	Non-TR
DH12	FC30b	12771	0.9566	0.9707	0.9566	Non-TR
DH12	FC5	12664	0.9451	0.9674	0.9451	Non-TR
DH12	FC7	12739	0.9459	0.9668	0.9459	Non-TR
DH12	FI11	12305	0.9543	0.9728	0.9543	Non-TR
DH12	FI16	12795	0.9549	0.9715	0.9549	Non-TR
DH12	FI1	12867	0.9572	0.9734	0.9572	Non-TR
DH12	FI21	12333	0.9557	0.9712	0.9557	Non-TR
DH12	FI22	13062	0.9562	0.9725	0.9562	Non-TR
DH12	FI25	13077	0.9576	0.9726	0.9576	Non-TR
DH12	FI26	12867	0.9546	0.9724	0.9546	Non-TR
DH12	FI29	13180	0.9576	0.9722	0.9576	Non-TR
DH12	FI5	12948	0.9556	0.9725	0.9556	Non-TR
DH12	FI7	12911	0.9588	0.9703	0.9588	Non-TR
DH12	FI8	12961	0.9587	0.9702	0.9587	Non-TR
DH12	FI9	12977	0.9558	0.9727	0.9558	Non-TR
DH12	GU10	4200	0.3185	0.94	0.3185	Non-TR
DH12	GU12	2242	0.1687	0.9456	0.1687	Non-TR
DH12	GU13	3300	0.2484	0.9499	0.2484	Non-TR
DH12	GU17	2763	0.2058	0.958	0.2058	Non-TR
DH12	GU19	2049	0.1558	0.9399	0.1558	Non-TR
DH12	GU21	2327	0.1874	0.9513	0.1874	Non-TR
DH12	GU23	1397	0.1044	0.932	0.1044	Non-TR
DH12	GU25	3775	0.286	0.9471	0.286	Non-TR
DH12	GU26	3927	0.3204	0.9379	0.3204	Non-TR
DH12	GU28	4046	0.3196	0.9429	0.3196	Non-TR
DH12	GU30	4195	0.3114	0.9393	0.3114	Non-TR
DH12	GU5	4203	0.313	0.9401	0.313	Non-TR
DH12	GU7	4106	0.3179	0.9402	0.3179	Non-TR
DH12	HB10	12796	0.9528	0.959	0.9528	Non-TR
DH12	HB12	12773	0.9507	0.9627	0.9507	Non-TR
